Year_of_prod,Season,Episode_Title,Duration,Summary,Director,Stars,Votes,episode_num_in_season,episode_num_overall,directed_by,written_by,original_air_date,prod_code,us_viewers
2002,9,the one with the pediatrician,22,"Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer.",Roger Christiansen,8.2,2733,3,197,Roger Christiansen,Brian Buckner & Sebastian Jones,10/10/2002,175254,26620000
2002,9,the one with the sharks,22,Monica thinks Chandler is aroused by shark documentaries.,Ben Weiss,8.2,2764,4,198,Ben Weiss,Andrew Reich & Ted Cohen,17/10/2002,175253,25810000
2002,9,the one with phoebe's birthday dinner,22,"Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems.",David Schwimmer,8.5,2799,5,199,David Schwimmer,Scott Silveri,31/10/2002,175255,24460000
2002,9,the one with the male nanny,22,"Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.",Kevin Bright,8.4,2961,6,200,Kevin S. Bright,David Crane & Marta Kauffman,07/11/2002,175256,27510000
2002,9,the one with ross's inappropriate song,22,"Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment.",Gary Halvorson,8.7,2971,7,201,Gary Halvorson,Robert Carlock,14/11/2002,175257,25350000
2002,9,the one with rachel's other sister,22,Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,Kevin Bright,8.8,3273,8,202,Kevin S. Bright,Shana Goldberg-Meehan,21/11/2002,175258,26760000
2002,9,the one with rachel's phone number,22,"Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys.",Ben Weiss,8.2,2702,9,203,Ben Weiss,Mark Kunerth,05/12/2002,175259,25420000
2002,9,the one with christmas in tulsa,22,"Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.",Kevin Bright,7.5,2804,10,204,Kevin S. Bright,Doty Abrams,12/12/2002,175260,22280000
2003,9,the one where rachel goes back to work,22,"Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show.",Gary Halvorson,8,2601,11,205,Gary Halvorson,Story by: Judd RubinTeleplay by: Peter Tibbals,09/01/2003,175261,23670000
2003,9,the one with phoebe's rats,24,Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,Ben Weiss,8,2688,12,206,Ben Weiss,Story by: Dana Klein BorkowTeleplay by: Brian Buckner & Sebastian Jones,16/01/2003,175262,23660000
2003,9,the one where monica sings,22,A night at Mike's piano bar gives Monica a very showy moment in the spotlight; Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.,Gary Halvorson,8.2,2685,13,207,Gary Halvorson,Story by: Sherry Bilsing-Graham & Ellen PlummerTeleplay by: Steven Rosenhaus,30/01/2003,175263,25820000
2003,9,the one with the blind dates,24,Phoebe and Joey purposely set Ross and Rachel up on bad dates in the hopes they'll get back together. Monica and Chandler babysit Emma.,Gary Halvorson,8.2,2642,14,208,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,06/02/2003,175265,23370000
2003,9,the one with the mugging,24,"Joey gets a part in a stage-play in a painful way. Ross and Phoebe are mugged outside Central Perk, Phoebe realizes that she mugged Ross 18 years ago. Chandler starts his new career as advertising writer.",Gary Halvorson,8.3,2670,15,209,Gary Halvorson,Peter Tibbals,13/02/2003,175264,20850000
2003,9,the one with the boob job,27,"When Monica and Chandler both ask Joey for money not wanting the other to know why they are asking for it, Chandler sees that Joey gave money to Monica. Joey makes up that Monica is getting...                See full summary »",Gary Halvorson,8.2,2588,16,210,Gary Halvorson,Mark Kunerth,20/02/2003,175266,19520000
2003,9,the one with the memorial service,26,"When Chandler and Ross joke around on their college website, Ross is accused of being dead which leads to the fact that he was not popular in college. Joey is not willing to give his ...                See full summary »",Gary Halvorson,8.5,2713,17,211,Gary Halvorson,Story by: Robert CarlockTeleplay by: Brian Buckner & Sebastian Jones,13/03/2003,175267,21000000
2003,9,the one with the lottery,23,"Hoping to win a huge jackpot, the friends pool their money and buy dozens of lottery tickets. However, they bicker over how to spend the fortune if they win, and Monica irritates everyone else by buying tickets just for her and Chandler.",Gary Halvorson,8.6,2792,18,212,Gary Halvorson,Story by: Brian Buckner & Sebastian JonesTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,03/04/2003,175268,20790000
2003,9,the one with rachel's dream,22,"Joey is insecure now his Days of Our Lives character Dr. Drake Ramore is getting real dialog, so he asks Rachel to come along to the set, which she loves enough to get romantic dreams, but ...                See full summary »",Terry Hughes,8.1,2616,19,213,Terry Hughes,Story by: Dana Klein BorkowTeleplay by: Mark Kunerth,17/04/2003,175269,18240000
2003,9,the one with the soap opera party,22,Joey throws a cast party on the roof of his building where he ends up making out with an attractive professor that Ross had a crush on.,Sheldon Epps,8.2,2615,20,214,Sheldon Epps,Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich & Ted Cohen,24/04/2003,175270,20710000
2003,9,the one with the fertility test,22,"Still unable to conceive, Monica and Chandler decide to get tests done at a fertility clinic, where they run into Chandler's favorite ex, Janice. Rachel receives a gift certificate for a ...                See full summary »",Gary Halvorson,8.2,2557,21,215,Gary Halvorson,Story by: Scott SilveriTeleplay by: Robert Carlock,01/05/2003,175271,19030000
2003,9,the one with the donor,22,"When Joey hears that his girlfriend Charlie is an insecure shopper, he volunteers expert Rachel, who dreads being alone with her, so she makes sure Phoebe comes along, by saying she needs a...                See full summary »",Ben Weiss,7.8,2635,22,216,Ben Weiss,Andrew Reich & Ted Cohen,08/05/2003,175272,19550000
2003,9,the one in barbados,22,"Chandler gives advice to David, but that makes David want to propose to Phoebe. Although Phoebe is still in love with Mike. Monica calls Mike who shows up there right in the middle of ...                See full summary »",Kevin Bright,8.5,2705,23,217,Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,15/05/2003,175273,25460000
2003,9,the one in barbados,22,"To the other friends' fury, it keeps raining except during Ross's speech, which to their amazement is a big hit with the paleontologists. Joey's scientific ignorance decides Charlie to turn...                See full summary »",Kevin Bright,8.6,2844,24,218,Kevin S. Bright,Marta Kauffman & David Crane,15/05/2003,175274,25460000
2003,10,the one after joey and rachel kiss,22,Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.,Kevin Bright,8.5,3113,1,219,Kevin S. Bright,Andrew Reich & Ted Cohen,25/09/2003,176251,24540000
2003,10,the one where ross is fine,22,Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.,Ben Weiss,8.8,3366,2,220,Ben Weiss,Sherry Bilsing-Graham & Ellen Plummer,02/10/2003,176252,22370000
2003,10,the one with ross's tan,22,Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.,Gary Halvorson,8.8,3277,3,221,Gary Halvorson,Brian Buckner,09/10/2003,176253,21870000
2003,10,the one with the cake,22,"On Emma's first birthday, Ross and Rachel convince everyone to delay their plans so they can attend her party, however plans go awry when Emma's birthday cake is revealed.",Gary Halvorson,8.3,2825,4,222,Gary Halvorson,Robert Carlock,23/10/2003,176254,18760000
2003,10,the one where rachel's sister babysits,22,Rachel's sister Amy comes to visit and moves in with her and Joey. Phoebe constantly and accidentally ruins Mike's proposals. Joey struggles to write a letter of recommendation for Monica and Chandler's adoption agency.,Roger Christiansen,8.2,2812,5,223,Roger Christiansen,Dana Klein Borkow,30/10/2003,176255,19370000
2003,10,the one with ross' grant,22,Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.,Ben Weiss,8.2,2853,6,224,Ben Weiss,Sebastian Jones,06/11/2003,176256,20370000
2003,10,the one with the home study,22,Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.,Kevin Bright,8.3,2716,7,225,Kevin S. Bright,Mark Kunerth,13/11/2003,176257,20210000
2003,10,the one with the late thanksgiving,22,"Joey, Ross, Rachel and Phoebe convince Monica and Chandler to host Thanksgiving, however the four of them end up arriving to dinner an hour late.",Gary Halvorson,8.9,3302,8,226,Gary Halvorson,Shana Goldberg-Meehan,20/11/2003,176259,20660000
2004,10,the one with the birth mother,22,"After Rachel confirms Joey is more mature in relationships, Phoebe presents him to another friend as date, Sarah, who fails alas to respect his primordial rule by touching food in his plate...                See full summary »",David Schwimmer,8.6,2860,9,227,David Schwimmer,Scott Silveri,08/01/2004,176258,25480000
2004,10,the one where chandler gets caught,22,Chandler and Monica have decided they want to raise their offspring in a suburban house and even find a perfect one in Westchester. Rachel and Phoebe see Chandler enter a car with his ...                See full summary »,Gary Halvorson,8,2748,10,228,Gary Halvorson,Doty Abrams,15/01/2004,176268,26680000
2004,10,the one where the stripper cries,22,Old secrets come to light when Ross and Chandler attend a college reunion. Monica and Rachel throw Phoebe a bachelorette party. Joey appears as a celebrity partner on a game show.,Kevin Bright,9,3684,11,229,Kevin S. Bright,David Crane & Marta Kauffman,05/02/2004,176260,24910000
2004,10,the one with phoebe's wedding,22,Chaos ensues as Phoebe and Mike prepare to get married.,Kevin Bright,8.9,3161,12,230,Kevin S. Bright,Robert Carlock & Dana Klein Borkow,12/02/2004,176262,25900000
2004,10,the one where joey speaks french,22,Phoebe tries to teach Joey to speak French for an audition; Ross and Rachel head out to Long Island after her dad has a heart attack.,Gary Halvorson,8.5,3044,13,231,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,19/02/2004,176261,24270000
2004,10,the one with princess consuela,22,"When Phoebe goes to get her name changed she realizes she can change it to anything she wants, so she changes it to Princess Consuela Banana Hammock, to Mike's displeasure. Chandler finds ...                See full summary »",Gary Halvorson,8.6,2989,14,232,Gary Halvorson,Story by: Robert CarlockTeleplay by: Tracy Reilly,26/02/2004,176263,22820000
2004,10,the one where estelle dies,22,"Ross tries to get Rachel to go back to Ralph Lauren, Joey doesn't know that his agent has died, and Monica and Chandler bump into Janice.",Gary Halvorson,8.5,2771,15,233,Gary Halvorson,Story by: Mark KunerthTeleplay by: David Crane & Marta Kauffman,22/04/2004,176264,22640000
2004,10,the one with rachel's going away party,22,"The gang throws Rachel a goodbye party, during which she says goodbye to everybody individually.",Gary Halvorson,8.9,3141,16,234,Gary Halvorson,Andrew Reich & Ted Cohen,29/04/2004,176265,24510000
2004,10,the last one,30,"Erica gives birth to the baby that Monica and Chandler are adopting. However, there's one small added surprise. Meanwhile, Ross and Rachel sleep together one last time before Rachel leaves ...                See full summary »",Kevin Bright,9.5,6221,17,235,Kevin S. Bright,Marta Kauffman & David Crane,06/05/2004,176266,52460000
2004,10,the last one,30,"Phoebe races Ross to the airport in a bid to stop Rachel from leaving for Paris. Monica and Chandler pack up their apartment ahead of their move to their new house, and Joey buys Chandler a new chick and duck as a leaving present.",Kevin Bright,9.7,10381,18,235,Kevin S. Bright,Marta Kauffman & David Crane,06/05/2004,176266,52460000
