Year_of_prod,Season,Episode_Title,Duration,Summary,Director,Stars,Votes,episode_num_in_season,episode_num_overall,directed_by,written_by,original_air_date,prod_code,us_viewers
1996,3,the one with the football,22,"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football.",Kevin Bright,9,4588,9,57,Kevin S. Bright,Ira Ungerleider,21/11/1996,465259,29280000
1996,3,the one where rachel quits,22,Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,Terry Hughes,8.1,3268,10,58,Terry Hughes,Gregory S. Malins & Michael Curtis,12/12/1996,465260,25100000
1997,3,the one where chandler can't remember which sister,22,A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,Terry Hughes,8.6,3374,11,59,Terry Hughes,Alexa Junge,09/01/1997,465261,29800000
1997,3,the one with all the jealousy,22,"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.",Robby Benson,8.2,3213,12,60,Robby Benson,Doty Abrams,16/01/1997,465262,29610000
1997,3,the one where monica and richard are just friends,22,"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction"".",Robby Benson,8.2,3225,13,61,Robby Benson,Michael Borkow,30/01/1997,465265,28030000
1997,3,the one with phoebe's ex-partner,22,"Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg.",Robby Benson,7.9,3211,14,62,Robby Benson,Wil Calhoun,06/02/1997,465266,28910000
1997,3,the one where ross and rachel take a break,22,Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.,James Burrows,8.5,3450,15,63,James Burrows,Michael Borkow,13/02/1997,465263,27250000
1997,3,the one with the morning after,22,"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.",James Burrows,9.1,4192,16,64,James Burrows,David Crane & Marta Kauffman,20/02/1997,465264,28260000
1997,3,the one without the ski trip,22,"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.",Sam Simon,8.3,3154,17,65,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,06/03/1997,465267,25840000
1997,3,the one with the hypnosis tape,22,Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Frank makes a surprise announcement that he is getting married - to a woman twice his age.,Robby Benson,8.4,3268,18,66,Robby Benson,Seth Kurland,13/03/1997,465269,28070000
1997,3,the one with the tiny t-shirt,22,"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him.",Terry Hughes,8.2,3147,19,67,Terry Hughes,Adam Chase,27/03/1997,465268,23650000
1997,3,the one with the dollhouse,22,"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna.",Terry Hughes,8.1,3134,20,68,Terry Hughes,Wil Calhoun,10/04/1997,465270,24360000
1997,3,the one with the chick and the duck,22,"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.",Michael Lembeck,8.7,3359,21,69,Michael Lembeck,Chris Brown,17/04/1997,465271,23220000
1997,3,the one with the screamer,22,"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company.",Peter Bonerz,8.3,3185,22,70,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,24/04/1997,465272,22630000
1997,3,the one with ross's thing,22,Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.,Shelley Jensen,8.1,3120,23,71,Shelley Jensen,Ted Cohen & Andrew Reich,01/05/1997,465274,24170000
1997,3,the one with the ultimate fighting champion,22,Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.,Robby Benson,8.1,3253,24,72,Robby Benson,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Shana Goldberg-Meehan & Scott Silveri,08/05/1997,465273,23070000
1997,3,the one at the beach,22,"While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie.",Pamela Fryman,8.9,3600,25,73,Pamela Fryman,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Adam Chase,15/05/1997,465275,23390000
1997,4,the one with the jellyfish,22,"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach.",Shelley Jensen,9.1,4099,1,74,Shelley Jensen,Wil Calhoun,25/09/1997,466601,29430000
1997,4,the one with the cat,22,Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.,Shelley Jensen,8.1,3169,2,75,Shelley Jensen,Jill Condon & Amy Toomin,02/10/1997,466602,25540000
1997,4,the one with the 'cuffs,22,Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.,Peter Bonerz,8.5,3185,3,76,Peter Bonerz,Seth Kurland,09/10/1997,466603,23980000
1997,4,the one with the ballroom dancing,22,Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.,Gail Mancuso,8.2,3122,4,77,Gail Mancuso,Ted Cohen & Andrew Reich,16/10/1997,466604,24310000
1997,4,the one with joey's new girlfriend,22,Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.,Gail Mancuso,8.4,3157,5,78,Gail Mancuso,Gregory S. Malins & Michael Curtis,30/10/1997,466605,24350000
1997,4,the one with the dirty girl,22,Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.,Shelley Jensen,8.5,3238,6,79,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,06/11/1997,466606,25680000
1997,4,the one where chandler crosses the line,22,Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.,Kevin Bright,8.7,3294,7,80,Kevin S. Bright,Adam Chase,13/11/1997,466607,26350000
1997,4,the one with chandler in a box,22,Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,Peter Bonerz,9.1,4139,8,81,Peter Bonerz,Michael Borkow,20/11/1997,466608,26760000
1997,4,the one where they're going to party!,22,Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,Peter Bonerz,7.9,3045,9,82,Peter Bonerz,Ted Cohen & Andrew Reich,11/12/1997,466609,23890000
1997,4,the one with the girl from poughkeepsie,22,"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.",Gary Halvorson,8.1,3025,10,83,Gary Halvorson,Scott Silveri,18/12/1997,466612,23220000
1998,4,the one with phoebe's uterus,22,Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,David Steinberg,8.5,3210,11,84,David Steinberg,Seth Kurland,08/01/1998,466610,23660000
1998,4,the one with the embryos,22,"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.",Kevin Bright,9.5,6006,12,85,Kevin S. Bright,Jill Condon & Amy Toomin,15/01/1998,466611,27140000
1998,4,the one with rachel's crush,22,"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.",Dana De Vally Piazza,8.2,3006,13,86,Dana DeVally Piazza,Shana Goldberg-Meehan,29/01/1998,466613,25270000
